Layers,Correlation
conv1_1,0.0930294123605
conv1_2,0.0872393821526
conv2_1,0.135053320312
conv2_2,0.202577485283
conv3_1,0.278275782414
conv3_2,0.283597802097
conv3_3,0.284235104827
conv4_1,0.344993843131
conv4_2,0.34693006672
conv4_3,0.362539638596
conv5_1,0.426235123037
conv5_2,0.437701178245
conv5_3,0.40459031002
fc6,0.371202859251
fc7,0.301916159473
