Layers,Accuracy
conv1_1,0.635333333333
conv2_1,0.675333333333
conv2_2,0.714
conv3_1,0.764
conv3_2,0.772
conv3_3,0.790666666667
conv4_1,0.835333333333
conv4_2,0.836
conv4_3,0.852666666667
conv5_1,0.901333333333
conv5_2,0.921333333333
conv5_3,0.926666666667
fc6,0.945333333333
fc7,0.943333333333
