Layers,Correlation
conv1_1,0.0846298047926
conv1_2,0.0871278363995
conv2_1,0.137725626239
conv2_2,0.203528993285
conv3_1,0.283235621106
conv3_2,0.287995120936
conv3_3,0.292191321786
conv4_1,0.351740803269
conv4_2,0.356354868406
conv4_3,0.373441853609
conv5_1,0.435634874283
conv5_2,0.444708109961
conv5_3,0.409678543582
fc6,0.380549807979
fc7,0.31200333185
